trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
261,False,"{'a': 0.5, 'e': 0.07353454376305812}",20,1,26.23335730478514,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.5, 'e': 0.07280286282743663}",25,0,24.60410149115237,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
263,False,"{'a': 0.5, 'e': 0.07207846223876713}",20,0,20.501813164875824,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
264,False,"{'a': 0.5, 'e': 0.07136126955638708}",30,21,16.127859339861168,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
265,False,"{'a': 0.5, 'e': 0.0706512130604306}",25,11,7.482722178471173,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
266,False,"{'a': 0.5, 'e': 0.06994822174465637}",20,0,23.701098887763926,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
267,False,"{'a': 0.5, 'e': 0.06925222530934698}",30,19,16.02570049372021,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.5, 'e': 0.06856315415427891}",20,0,-18.03407684953705,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
269,False,"{'a': 0.5, 'e': 0.06788093937176241}",20,7,20.037733797571942,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.5, 'e': 0.06720551273975074}",20,0,15.063883719922599,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
271,False,"{'a': 0.5, 'e': 0.06653680671501783}",20,0,27.31128405117741,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.5, 'e': 0.06587475442640393}",20,0,15.826401254513316,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
273,False,"{'a': 0.5, 'e': 0.0652192896681285}",20,9,14.101140689463977,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.5, 'e': 0.06457034689316946}",20,11,16.973522131559022,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.5, 'e': 0.06392786120670853}",20,14,11.508375094854236,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.5, 'e': 0.06329176835964168}",30,0,28.315891019437668,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
277,False,"{'a': 0.5, 'e': 0.0626620047421541}",20,5,22.821183903253957,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.5, 'e': 0.06203850737735925}",25,7,26.15067269502971,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.5, 'e': 0.06142121391500106}",20,0,24.686655761470664,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
280,False,"{'a': 0.5, 'e': 0.060810062625218896}",20,7,15.061388071306762,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.5, 'e': 0.06020499239237447}",20,0,31.06313717730302,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
